Name of Food Stuff,Energy,Moisture,Protein,Fat,Minerals,Fibre,Carbos,Calcium,Phosphorous,Iron
,(Kcals),(g),(g),(g),(g),(g),(g),(mg),(mg),(mg)
,,,,,,,,,,
common foods,,,,,,,,,,
,,,,,,,,,,
*Nutritive value / 100 gms of raw ingredients,,,,,,,,,,
BROAD BEANS,48,85,4,0,1,2,7,50,64,1
CAULIFLOWER,30,91,3,0,1,1,4,33,57,1
CHO-CHO-MARROW,27,92,1,0,0,1,6,140,30,1
CLUSTER BEANS,16,81,3,0,1,3,11,130,57,1
COLOCASIA STEM,18,94,0,0,1,1,4,60,20,0
COWPEA PODS,48,85,3,0,1,2,8,72,59,2
CUCUMBER,13,96,0,0,0,0,2,10,25,1
DOBLE BEANS,85,74,8,0,1,4,12,40,140,2
DRUMSTICK,26,87,2,0,2,5,4,30,110,0
DRUMSTICK flowers,50,86,4,1,1,1,7,51,90,-
"FIELD BEANS, tender",48,86,4,1,1,2,7,210,68,1
"FIGS, red (Ficus cunia)",53,79,1,1,2,6,11,187,39,-
FRENCH BEANS,26,91,2,0,0,2,4,50,28,1
GHOSALA,18,93,1,0,0,2,3,36,19,1
GIANT CHILLIES (capsicum),24,92,1,0,1,1,4,10,30,0
"JACK, tender",51,84,3,0,1,3,9,30,40,2
"JACK FRUIT, seeds",133,64,7,0,1,1,26,50,97,1
KANKODA,52,84,3,1,1,3,8,33,42,5
KARONDA fresh,42,91,1,3,1,1,3,21,28,-
KARONDA dry,364,18,2,10,3,-,67,160,60,39
KOVAI,18,93,1,0,0,2,3,40,30,0
KNOL-KHOL,21,93,1,0,1,1,4,20,35,1
LADIES FINGERS,35,90,2,0,1,1,6,66,56,0
"LAKUCH, raw",73,89,2,1,1,3,14,67,25,-
LEEKS,77,79,2,0,1,1,17,50,70,2
"LOTUS STEM, dry",234,9,4,1,8,25,51,405,128,60
"MANGO, green",44,87,1,0,0,1,10,10,19,0
"PAPAYA, green",27,92,1,0,0,1,6,28,40,1
PARWAR,20,92,2,0,0,3,2,30,40,2
PINK BEANS,44,87,3,0,1,2,7,54,70,1
PLANTAIN flower,34,90,2,1,1,1,5,32,42,2
PLANTAIN green,64,83,1,0,0,1,14,10,29,6
PLANTAIN stem,42,88,0,0,1,1,10,10,10,1
PUMPKIN fruit,25,93,1,0,1,1,5,10,30,0
PUMPKIN flowers,39,89,2,1,1,1,6,120,60,-
RIGDE GOURD,17,95,0,0,0,0,3,18,26,0
SNAKE GOURD,18,95,0,0,0,1,3,26,20,1
"SUNDAKAI, dry",269,12,8,2,5,18,55,390,180,22
SWORD BEANS,44,87,3,0,1,1,8,60,40,2
"TINDA, tender",21,93,1,0,0,1,3,25,24,1
"TOMATO, green",23,93,2,1,1,1,4,20,36,2
VEGETABLE MARROW,17,95,0,0,0,1,3,10,30,1
,,,,,,,,,,
Nuts and Oilseeds ,,,,,,,,,,
,,,,,,,,,,
ALMOND,655,5,21,59,3,2,10,230,490,5
ARECANUT,249,31,5,4,1,11,47,50,130,1
AVOCADOPEAR (nut),144,64,2,1,1,-,32,20,80,1
CASHEWNUT,596,6,21,47,2,1,22,50,450,6
CHILGOZA,615,4,14,49,3,1,29,91,494,4
COCONUT dry,662,4,7,62,2,7,18,400,210,8
COCONUT fresh,444,36,45,42,1,4,13,10,240,2
COCONUT tender,41,91,1,1,1,-,6,10,30,1
COCONUT milk,430,43,3,41,1,0,12,15,140,2
COCONUT water,24,94,1,0,0,0,4,24,10,0
"COCONUT meal, deoiled",312,9,24,3,7,10,48,112,646,69
GARDEN CRESS SEEDS,454,3,25,24,6,8,33,377,723,100
GINGELLY SEEDS,563,5,18,43,5,3,25,1450,570,9
GROUNDNUT,567,3,25,40,2,3,26,90,350,2
GROUNDNUT roasted,570,2,26,40,2,3,27,77,370,3
GROUNDNUT cake,386,7,41,7,2,3,39,213,548,-
LINSEED SEEDS,530,6,20,37,2,5,29,170,370,3
MUSTARD SEEDS,541,8,20,40,4,2,24,490,700,8
NIGER SEEDS,515,4,24,39,5,11,17,300,224,57
PISTACHIO NUT,626,6,20,53,3,2,16,140,430,8
PIYAL SEEDS,656,3,19,59,3,4,12,279,528,8
SAFFLOWER SEEDS,356,5,13,26,3,35,18,236,823,5
SUNFLOWER SEEDS,620,5,20,52,4,1,18,280,670,5
WALNUT,687,4,16,64,2,3,11,100,380,3
WALTER MELON SEEDS (kernal),628,4,34,53,4,1,4,100,937,7
,,,,,,,,,,
,,,,,,,,,,
Condiments and Spices ,,,,,,,,,,
,,,,,,,,,,
ASAFOETIDA,297,16,4,1,7,4,68,690,50,39
CARDAMOM,229,20,10,2,5,20,42,130,160,5
CHILLIES dry,246,10,16,6,6,30,32,160,370,2
CHILLIES green,29,86,3,1,1,7,3,30,80,4
CLOVES dry,286,25,5,9,5,9,46,740,100,12
CLOVES green,159,65,2,6,2,-,24,310,40,2
CORIANDER,288,11,14,16,4,33,22,630,393,7
CUMIN SEEDS,356,12,19,15,6,12,37,1080,511,12
FENUGREEK SEEDS,333,14,26,6,3,7,44,160,370,6
GINGR fresh,67,81,2,1,1,2,12,20,60,3
LIME PEEL,129,66,2,0,2,-,29,710,60,3
MANGO POWDER,337,7,3,8,5,14,64,180,16,45
NUTMEG fruit,472,14,7,36,2,12,28,120,240,2
NUTMEG rind,52,87,1,0,1,-,11,40,10,2
OMUM,363,7,17,22,8,21,25,1525,443,12
PEPPER DRY (black),304,18,11,7,4,15,49,460,198,12
PEPPER GREEN,98,71,5,3,2,6,14,270,70,2
PIPPALI,310,12,6,2,5,8,66,1230,190,62
POPPY SEEDS,408,4,22,19,10,8,37,1584,432,16
TAMARIND PULP,283,21,3,0,3,6,67,170,110,17
TURMERIC,349,13,6,5,3,3,69,150,282,68
,,,,,,,,,,
,,,,,,,,,,
Fruits ,,,,,,,,,,
,,,,,,,,,,
AMBADA,48,90,1,3,0,1,4,36,11,4
AMLA,58,82,0,0,0,3,14,50,20,1
APPLE,59,85,0,0,0,1,13,10,14,1
APRICOT fresh,53,85,1,0,1,1,12,20,25,2
APRICOT dry,306,19,2,1,3,2,73,110,70,5
AVOCADO PEAR,215,74,2,23,1,-,1,10,80,1
BAEL FRUIT,137,61,2,0,2,3,32,85,50,1
"BANANA, ripe",116,70,1,0,1,0,27,17,36,0
BANYAN TREE FIGS,72,74,2,2,2,8,12,364,43,-
BILIMBI,19,94,0,0,0,1,3,15,10,1
BREAD FRUIT,71,79,1,0,1,2,16,40,30,0
BULLOCK'S HEART,70,77,1,0,1,5,16,10,10,1
CAPE GOOSEBERRY,53,83,2,0,1,3,11,10,67,2
CASHEW FRUIT,51,86,0,0,0,1,12,10,10,0
"CHERRIES, red",64,83,1,0,1,0,14,24,25,0
"CURRANTS, black",316,18,3,0,2,1,75,130,110,8
DATES dried,617,15,2,0,2,4,76,120,50,7
DATES fresh,144,59,1,0,1,4,34,22,38,1
FIGS (Ficus carcia),37,88,1,0,1,2,8,80,30,1
GRAPES blue variety,58,82,1,0,1,3,13,20,23,0
GRAPES pale green variety,71,79,0,0,1,3,16,20,30,0
GRAPE FRUIT marsh's seedless,45,88,1,0,0,-,10,30,30,0
GRAPE FRUIT triumph,32,92,1,0,0,-,7,20,20,0
"GUAVA, country",51,82,1,0,1,5,11,10,28,0
"GUAVA, hill",38,85,0,0,1,5,9,50,20,1
JACK FRUIT,88,76,2,0,1,1,20,20,41,0
JAMBU FRUIT,62,84,1,0,0,1,14,15,15,0
KORUKKAPALLI,78,79,3,0,1,1,16,14,49,1
LAKUCH,66,82,1,1,1,2,13,50,20,0
LEMON,57,85,1,1,0,2,11,70,10,0
LEMON SWEET,35,90,1,0,0,0,7,30,20,1
LICHI,61,84,1,0,0,0,14,10,35,1
LIME,59,85,1,1,1,1,11,90,20,0
"LIME, sweet malta",36,90,1,0,0,1,8,30,20,1
"LIME, sweet musambi",43,88,1,0,1,0,9,40,30,1
LOQUAT,43,88,1,0,0,1,10,30,20,1
"MAHUA, ripe",111,74,1,2,1,-,23,45,22,0
"MANGO, ripe",74,81,1,0,0,1,17,14,16,1
MANGOSTEEN,60,85,1,0,0,-,14,10,20,0
"MELON, musk",17,95,0,0,0,0,3,32,14,1
"MELON, water",16,96,0,0,0,0,3,11,12,8
MULBERRY,49,86,1,0,1,1,10,70,30,2
ORANGE,48,88,1,0,0,0,11,26,20,0
ORANGE juice,9,98,0,0,0,-,2,5,9,1
PALMYRA FRUIT ripe (mesocarp),87,77,1,0,1,0,21,9,33,-
PALMYRA FRUIT tender,29,92,1,0,0,0,6,10,20,0
"PAPAYA, ripe",32,91,1,0,0,1,7,17,13,0
PASSION FRUIT,54,76,1,0,1,10,12,10,60,2
PASSION FRUIT juice,37,89,1,0,1,1,8,10,30,1
PEACHES,50,86,1,0,1,1,10,15,41,2
PEARS,52,86,1,0,0,1,12,8,15,0
PERSIMMON,76,80,1,0,0,1,18,15,10,0
PHALSA,72,81,1,1,1,1,15,129,39,3
PINE APPLE,46,88,0,0,0,0,11,20,9,2
PLUM,52,87,1,0,0,0,11,10,12,1
POMEGRANATE,65,78,2,0,1,5,14,10,70,2
PRUNES,56,8,0,0,1,0,13,10,18,-
PUMMELO,44,88,1,0,0,1,10,30,30,0
QUINCE,50,86,0,0,0,2,12,10,20,0
RAISINS,308,20,2,0,2,1,75,87,80,8
RASPBERRY,56,85,1,1,1,1,12,40,110,2
ROSE APPLE,39,89,1,0,0,1,8,10,30,0
SAPOTA,98,74,1,1,0,3,21,28,27,1
SEETHAPHAL,104,70,2,0,1,3,23,17,47,4
STRAWBERRY,44,88,1,0,0,1,10,30,30,2
"TOMATO, ripe",20,94,1,0,0,1,4,48,20,1
TOMATILLO,31,92,1,1,1,1,6,7,40,1
TREE TOMATO,35,86,1,0,1,4,7,12,46,1
WOOD APPLE,134,64,7,4,2,5,18,130,110,0
ZIZYPHUS,74,82,1,0,0,-,17,4,9,0
,,,,,,,,,,
Milk and Milk Products,,,,,,,,,,
,,,,,,,,,,
MILK cow's,67,87,3,4,1,-,4,120,90,0
CURDS,60,89,3,4,1,-,3,149,93,0
BUTTER MILK,15,97,1,1,0,-,0,30,30,0
"SKIMMED MILK, liquid",29,92,2,0,1,-,5,120,90,0
CHANNA,265,57,18,21,3,-,1,208,138,-
CHEESE,348,40,24,25,4,-,6,790,520,2
KHOA (whole cow milk),413,25,20,26,4,-,25,956,613,-
KHOA (whole buffalo),421,31,15,31,3,-,20,650,420,6
WHOLE MILK POWDER (cow's),496,3,26,27,6,-,38,950,730,1
SKIMMED MILK POWDER (cow's),357,4,38,0,7,-,51,1370,1000,1
,,,,,,,,,,
Fats and Edible Oils ,,,,,,,,,,
,,,,,,,,,,
BUTTER,729,19,-,81,2,-,-,-,-,-
GHEE (cow),900,-,-,100,-,-,-,-,-,-
HYDROGENATED OIL (fortified),900,-,-,100,-,-,-,-,-,-
"COOKING OIL (Groundnut, Gingelly, Palmolein, Mustard, Coconut, etc.)",900,-,-,100,-,-,-,-,-,-
,,,,,,,,,,
Sugars ,,,,,,,,,,
,,,,,,,,,,
SUGAR CANE,398,0,0,0,0,-,99,12,1,0
HONEY,319,21,0,0,0,-,79,5,16,1
JAGGERY (cane),383,4,0,0,1,-,95,80,40,3
JAGGERY (coconut palm),340,10,1,0,5,-,83,1638,62,-
